iter	Passed	Remaining
429	1983	2628
430	1984	2619
431	1985	2610
432	1986	2601
433	1987	2592
434	1988	2582
435	1992	2577
436	1998	2574
437	1999	2565
438	2000	2557
439	2002	2548
440	2003	2539
441	2011	2539
442	2016	2535
443	2018	2528
444	2023	2523
445	2029	2521
446	2031	2513
447	2032	2504
448	2034	2496
449	2044	2498
450	2049	2494
451	2050	2486
452	2065	2494
453	2074	2495
454	2077	2488
455	2079	2480
456	2080	2472
457	2088	2470
458	2092	2465
459	2093	2457
460	2095	2449
461	2096	2441
462	2104	2440
463	2105	2432
464	2115	2434
465	2117	2426
466	2119	2418
467	2131	2422
468	2133	2415
469	2135	2407
470	2145	2409
471	2150	2405
472	2157	2403
473	2159	2396
474	2160	2388
475	2172	2391
476	2176	2385
477	2185	2386
478	2186	2378
479	2188	2370
480	2189	2362
481	2191	2354
482	2194	2348
483	2198	2344
484	2202	2338
485	2204	2331
486	2211	2329
487	2213	2322
488	2215	2314
489	2216	2306
490	2217	2298
491	2225	2297
492	2230	2293
493	2233	2287
494	2239	2284
495	2242	2279
496	2244	2272
497	2246	2264
498	2247	2256
499	2249	2249
500	2252	2243
501	2256	2238
502	2258	2231
503	2260	2224
504	2264	2219
505	2266	2213
506	2268	2205
507	2270	2198
508	2272	2192
509	2274	2185
510	2275	2177
511	2279	2172
512	2283	2167
513	2284	2160
514	2286	2153
515	2287	2145
516	2289	2138
517	2290	2131
518	2294	2126
519	2296	2119
520	2299	2114
521	2303	2109
522	2304	2102
523	2309	2097
524	2319	2098
525	2321	2091
526	2325	2087
527	2330	2083
528	2331	2076
529	2333	2068
530	2334	2062
531	2335	2054
532	2340	2050
533	2345	2046
534	2347	2040
535	2348	2032
536	2349	2025
537	2350	2018
538	2351	2011
539	2355	2006
540	2357	2000
541	2360	1994
542	2362	1988
543	2364	1982
544	2365	1975
545	2366	1968
546	2376	1967
547	2377	1960
548	2379	1954
549	2380	1947
550	2381	1940
551	2386	1936
552	2388	1930
553	2390	1924
554	2393	1919
555	2394	1912
556	2398	1907
557	2406	1906
558	2408	1899
559	2409	1893
560	2410	1886
561	2411	1879
562	2416	1875
563	2418	1869
564	2419	1862
565	2421	1857
566	2423	1850
567	2424	1844
568	2426	1837
569	2430	1833
570	2432	1827
571	2435	1822
572	2443	1820
573	2445	1815
574	2448	1809
575	2450	1803
576	2455	1800
577	2459	1796
578	2461	1789
579	2462	1783
580	2464	1777
581	2468	1773
582	2472	1768
583	2474	1762
584	2475	1756
585	2476	1749
586	2478	1743
587	2479	1737
588	2480	1730
589	2490	1730
590	2506	1734
591	2508	1728
592	2509	1722
593	2510	1716
594	2515	1711
595	2518	1707
596	2520	1701
597	2522	1695
598	2523	1689
599	2524	1683
600	2525	1676
601	2530	1672
602	2532	1667
603	2535	1662
604	2537	1656
605	2538	1650
606	2539	1644
607	2544	1640
608	2549	1637
609	2551	1631
610	2552	1625
611	2553	1619
612	2554	1612
613	2559	1608
614	2568	1607
615	2569	1601
616	2570	1595
617	2583	1597
618	2598	1599
619	2599	1593
620	2601	1587
621	2607	1584
622	2611	1580
623	2614	1575
624	2621	1573
625	2623	1567
626	2626	1562
627	2628	1556
628	2632	1552
629	2636	1548
630	2638	1542
631	2640	1537
632	2645	1533
633	2653	1531
634	2655	1526
635	2656	1520
636	2659	1515
637	2666	1512
638	2687	1518
639	2701	1519
640	2703	1514
641	2707	1509
642	2711	1505
643	2715	1500
644	2716	1495
645	2717	1489
646	2730	1489
647	2732	1484
648	2733	1478
649	2748	1479
650	2752	1475
651	2753	1469
652	2757	1465
653	2773	1467
654	2774	1461
655	2775	1455
656	2788	1455
657	2789	1449
658	2790	1444
659	2791	1438
660	2801	1436
661	2804	1432
662	2806	1426
663	2815	1424
664	2817	1419
665	2819	1413
666	2820	1408
667	2821	1402
668	2827	1398
669	2833	1395
